2006年11月9号 2006年11月9日
2022·1·14 2022.1.14
2022年3月1号 2022年3月1日
2022年3月29号 2022年3月29日
2022年5月3号 2022年5月3日
2大方面 两大方面
3大方面 三大方面
4万万同胞 四万万同胞
4大方面 四大方面
5公分乘2公分 5厘米乘2厘米
5大方面 五大方面
9旬老人 九旬老人
M形社会 M型社会
S型曲线 S形曲线
T形人才 T型人才
T形台 T型台
WTO成员国 WTO成员方
―起 一起
‘㕷’的一下将胭脂从他手中打落 ‘啪’的一下将胭脂从他手中打落
‘思考’了半响 ‘思考’了半晌
“亖个代表”重要思想 “三个代表”重要思想
“咱当兵的人” 《咱当兵的人》
“四人邦” “四人帮”
“悠悠万事，唯此维大” “悠悠万事，唯此为大”
“投入分散、“一次性”使用效益低” “投入分散”、“一次性使用效益低”
“琐翠金鳞软玉膏”之誉 “琐碎金鳞软玉膏”之誉
“白氎”正是棉花的古称 “白㲲”正是棉花的古称
“砰砰”直跳 “怦怦”直跳
“荤素一根签水火二乾坤” “荤素一根扦水火二乾坤”
“蓬莱仙岛”号轮渡 “蓬莱仙岛号”轮渡
“这是为那桩？” “这是为哪桩？”
“邓小平中国新时代的形象” 《邓小平中国新时代的形象》
“金”就是鱼膘 “金”就是鱼鳔
□□声声 口口声声
□□相传 口口相传
□如悬河 口若悬河
□干舌燥 口干舌燥
□是心非 口是心非
□耳相传 口耳相传
□腹之欲 口腹之欲
□诛笔伐 口诛笔伐
□说无凭 口说无凭
、也不是 ，也不是
、也不能 ，也不能
、以及 ，以及
、尤其 ，尤其
、就会 ，就会
、并且 ，并且
、或者 ，或者
《三宇经》 《三字经》
《中国乡村杂志》 《中国乡村》杂志
《中国爱情诗刋》 《中国爱情诗刊》
《二臣传》 《贰臣传》
《仟悔录》 《忏悔录》
《伏苓公主》 《茯苓公主》
《伪君孑》 《伪君子》
《六家要指》 《六家要旨》
《六韬·军势》：“是以疾雷不及掩耳，迅电不及瞑目，赴之若鹭，用之若狂，当之者破，近之者亡 《六韬·军势》：“是以疾雷不及掩耳，迅电不及瞑目，赴之若惊，用之若狂，当之者破，近之者亡
《兰亭叙》 《兰亭序》
